
Simplified 简体	Traditional 繁体	Pinyin 拼音	English 英文	Grammar 语法	Notes 注释
泰		Tài	Thailand	Proper noun 专名	Abbreviation for 泰国
傥	儻	tǎng	unconventional	Adjective 形容词	
特异	特異	té yì	exceptionally good / excellent / distinctive / peculiar / unique	Adjective 形容词	
特质	特質	té zhì	a characteristic / a special property	Noun 名词	
特点	特點	tèdiǎn	characteristic / trait / feature	Noun 名词	
特定		tèdìng	special / specific / designated / particular	Adjective 形容词	
特色		tèsè	characteristic	Noun 名词	
特性		tèxìng	property / characteristic	Noun 名词	
特有		tèyǒu	to be distinctive / to have a special feature / to be peculiar	Verb 动词	
特征	特徵	tèzhēng	characteristic / diagnostic property / distinctive feature / trait	Noun 名词	
特制		tèzhì	special / unique	Adjective 形容词	
天生		tiānshēng	natural / innate	Adjective 形容词	
窕		tiǎo	quiet and secluded / gentle, graceful and elegant	Adjective 形容词	
体现	體現	tǐxiàn	to embody / to reflect / to exemplify	Verb 动词	
侗		tóng	ignorant	Adjective 形容词	
通常		tōngcháng	regular / usual / ordinary / normal	Adjective 形容词	
通透		tōngtòu	penetrating	Adjective 形容词	
同行		tóngxíng	on the same journey	Adjective 形容词	
通用		tōngyòng	to be in common use / to be interchangeable	Verb 动词	
透		tòu	thorough	Adjective 形容词	
透		tòu	satisfied	Adjective 形容词	
偷偷		tōutōu	stealthily / secretly / covertly	Adverb 副词	
妥		tuǒ	proper / secure / sound	Adjective 形容词	
妥当	妥當	tuǒdàng	appropriate / proper / ready	Adjective 形容词	
完备	完備	wánbèi	faultless / complete / perfect	Adjective 形容词	
完美		wánměi	perfect	Adjective 形容词	
玮	瑋	wěi	precious / rare	Adjective 形容词	
巍		wēi	high / lofty / towering / majestic	Adjective 形容词	
伪	偽	wěi	false / fake / forged / bogus	Adjective 形容词	
毕备	畢備	wēibèi	faultless / complete / perfect	Adjective 形容词	
微薄		wēibó	scanty / meager	Adjective 形容词	
威风	威風	wēifēng	might / awe-inspiring authority	Noun 名词	
微妙		wēimiào	subtle / delicate / fine / tricky / skillful	Adjective 形容词	
威容		wēiróng	grave and dignified	Adjective 形容词	
威严	威嚴	wēiyán	dignified / imposing / august	Adjective 形容词	
唯一		wéiyī	only / sole	Adjective 形容词	
稳当	穩當	wěndāng	reliable	Adjective 形容词	
稳实	穩實	wěnshí	steady / calm	Adjective 形容词	
稳重	穩重	wěnzhòng	steady / earnest / staid	Adjective 形容词	
污		wū	dirty / filthy / foul / corrupt	Adjective 形容词	
无度		wúdù	excessive	Adjective 形容词	
无法	無法	wúfǎ	unable / incapable	Adverb 副词	
无缝	無縫	wúfèng	seamless	Adjective 形容词	
熙		xī	prosperous / splendid	Adjective 形容词	
下劣		xiàliè	base / mean / despicable	Adjective 形容词	
鲜	鮮	xiān	fresh	Adjective 形容词	
纤	縴	xiān	fine / delicate / minute	Adjective 形容词	
现成	現成	xiànchéng	ready made	Adjective 形容词	
详	詳	xiáng	detailed / comprehensive	Adjective 形容词	
香气	香氣	xiāngqì	fragrance / aroma / incense	Noun 名词	
详细	詳細	xiángxì	detailed	Adjective 形容词	
显赫	顯赫	xiǎnhè	illustrious / celebrated	Noun 名词	
先进	先進	xiānjìn	advanced	Adjective 形容词	
现实	現實	xiànshí	useful / actual	Adjective 形容词	
先天		xiāntiān	inborn / innate / natural	Adjective 形容词	
先天性		xiāntiānxìng	innateness	Noun 名词	
萧	蕭	xiāo	mournful / desolate	Adjective 形容词	
效能		xiàonéng	efficacy / effectiveness	Noun 名词	
小巧		xiǎoqiǎo	exquisite	Adjective 形容词	
潇洒	瀟灑	xiāosǎ	natural and unrestrained	Adjective 形容词	of a person's manner
萧条	蕭條	xiāotiáo	mournful / desolate	Adjective 形容词	
效益	效益	xiàoyì	benefit	Noun 名词	
效应	效應	xiàoyìng	effect	Noun 名词	
行		xíng	capable / competent	Adjective 形容词	
形		xíng	appearance	Noun 名词	In this sense 形 is synonomous with 容色 or 容貌.
腥		xīng	smelly / fishy	Adjective 形容词	
腥臭		xīngchòu	smelly / fishy / stinky	Adjective 形容词	
性格		xìnggé	nature / disposition / temperament / character	Noun 名词	
性质	性質	xìngzhì	nature / characteristic	Noun 名词	
性状	性狀	xìngzhuàng	nature / character	Noun 名词	
新式		xīnshì	new type / latest type / new-style	Adjective 形容词	
新鲜	新鮮	xīnxiān	fresh	Adjective 形容词	
新颖	新穎	xīnyǐng	new and original	Adjective 形容词	
雄奇		xióngqí	grand / imposing	Adjective 形容词	
雄伟	雄偉	xióngwěi	grand	Adjective 形容词	
熊熊		xióngxióng	raging / flaming	Adjective 形容词	
系统	系統	xìtǒng	systematic	Adjective 形容词	
稀有		xīyǒu	uncommon	Adjective 形容词	
细致	細緻	xìzhì	delicate / fine / careful / meticulous	Adjective 形容词	
须	須	xū	necessary / must	Adverb 副词	
虚假	虛假	xūjiǎ	false / fake	Adjective 形容词	
驯	馴	xùn	tame / docile / obedient	Adjective 形容词	
驯	馴	xún	tame / docile / obedient	Adjective 形容词	
虚妄	虛妄	xūwàng	fabricated / not real	Adjective 形容词	
艳	艷	yàn	colorful / splendid / gaudy / amorous / romantic	Adjective 形容词	
豔		yàn	colorful / splendid / gaudy / amorous / romantic	Adjective 形容词	
严	嚴	yán	majesty	Noun 名词	
严谨	嚴謹	yánjǐn	rigorous / strict / careful / cautious	Adjective 形容词	
严峻	嚴峻	yánjùn	grim / severe / rigorous	Adjective 形容词	
严厉	嚴厲	yánlì	severe / strict	Adjective 形容词	
俨然	儼然	yǎnrán	majestic / dignified	Adjective 形容词	
俨然	儼然	yǎnrán	neat	Adjective 形容词	
严重	嚴重	yánzhòng	grave / serious / severe / critical	Adjective 形容词	
么	幺	yāo	youngest / most junior / tiny	Adjective 形容词	
耀		yào	brilliant / glorious	Adjective 形容词	
窈		yǎo	deep / quiet and elegant	Adjective 形容词	
要点	要點	yàodiǎn	strategic point / strong point	Noun 名词	
要紧	要緊	yàojǐn	important / urgent	Adjective 形容词	
要素		yàosù	essential	Adjective 形容词	
窈窕		yǎotiǎo	sweet, fair, and graceful (of a woman) / seductive / secluded	Adjective 形容词	
烨		yè	glorious	Adjective 形容词	
也许	也許	yěxǔ	perhaps / maybe	Adverb 副词	
宜		yí	proper / suitable / appropriate	Adjective 形容词	
易		yì	easy / simple	Adjective 形容词	
奕		yì	abundant / graceful	Adjective 形容词	
一		yī	as soon as / throughout	Adverb 副词	This adverb is often used as a connecting word in the subordinate clause of subordinate complex sentences. It is often used in the pattern 一…，就… to express that if a certain condition is met the result will surely follow. See Subordinate Complex Sentences.
一定		yīdìng	certainly	Adverb 副词	
阴	陰	yīn	feminine / relating to the moon / implicit / hidden	Adjective 形容词	
殷		yīn	flourishing	Adjective 形容词	
硬		yìng	hard / stiff / strong	Adjective 形容词	
应用	應用	yìngyòng	practical / useful	Adjective 形容词	
隐形	隱形	yǐnxíng	invisible	Adjective 形容词	
氤氲	氤氳	yīnyūn	dense / thick	Adjective 形容词	
庸		yōng	ordinary	Adjective 形容词	
有害		yǒuhài	destructive / harmful / damaging	Adjective 形容词	
有力		yǒulì	powerful / forceful / vigorous	Adjective 形容词	
优先	優先	yōuxiān	with priority	Adjective 形容词	
有效		yǒuxiào	effective / in effect / valid / efficient	Adjective 形容词	
优秀	優秀	yōuxiù	outstanding / excellent	Adjective 形容词	
优雅	優雅	yōuyǎ	grace	Noun 名词	
优雅	優雅	yōuyǎ	graceful	Adjective 形容词	
有益		yǒuyì	useful / profitable / beneficial	Adjective 形容词	
有用		yǒuyòng	useful	Adjective 形容词	
瑜		yú	excellence / luster of gems	Adjective 形容词	
郁	鬱	yù	dense	Adjective 形容词	
冤		yuān	not worthwhile	Adjective 形容词	
圆满	圓滿	yuánmǎn	satisfactory	Adjective 形容词	
原始		yuánshǐ	first / original / primitive	Adjective 形容词	
原有		yuányǒu	original	Adjective 形容词	
匀	勻	yún	even / uniform	Adjective 形容词	
韵味	韻味	yùnwèi	implicit charm in rhyme or sound / hinted appeal / interest	Adjective 形容词	
杂	雜	zá	mixed / miscellaneous / various / complex	Adjective 形容词	
脏	髒	zāng	dirty / filthy	Adjective 形容词	
燥		zào	dry / parched / impatient	Adjective 形容词	
藻		zǎo	elegant	Adjective 形容词	
杂质	雜質	zázhì	impurity	Noun 名词	
泽	澤	zé	beneficence	Adjective 形容词	
张狂	張狂	zhāngkuáng	savage / furious	Adjective 形容词	
张狂	張狂	zhāngkuáng	chaotic / rushed and muddled	Adjective 形容词	
崭新	嶄新	zhǎnxīn	brand new	Adjective 形容词	
昭		zhāo	illustrious	Adjective 形容词	
照		zhào	according to / in accordance with	Adverb 副词	
招风	招風	zhāofēng	conspicuous and inviting trouble	Phrase 词组	
朝气	朝氣	zhāoqì	vigour	Noun 名词	
扎实	扎實	zhāshi	strong / solid / sturdy / firm / practical	Adjective 形容词	
真		zhēn	real / true / genuine	Adjective 形容词	
珍		zhēn	precious thing / treasure	Noun 名词	
珍		zhēn	precious	Adjective 形容词	
眞		zhēn	real / true / genuine	Adjective 形容词	
整洁	整潔	zhěngjié	neat / tidy	Adjective 形容词	
整齐	整齊	zhěngqí	orderly / neat / even	Adverb 副词	
整齐	整齊	zhěngqí	orderly / neat / even	Adjective 形容词	
珍贵	珍貴	zhēnguì	precious	Adjective 形容词	
郑重	鄭重	zhèngzhòng	serious	Adjective 形容词	
珍奇		zhēnqí	rare / strange	Adjective 形容词	
质	質	zhì	substance / nature / quality	Noun 名词	
致	緻	zhì	fine and close	Adjective 形容词	
质量	質量	zhìliàng	quality	Noun 名词	
质朴	質樸	zhìpǔ	simple / plain / unadorned	Adjective 形容词	
秩序		zhìxù	order	Noun 名词	
中立		zhōnglì	to keep neutral	Verb 动词	
中立		zhōnglì	to keep neutrality	Noun 名词	
重型		zhòngxíng	heavy duty	Adjective 形容词	
状	狀	zhuàng	strong / great	Adjective 形容词	
壮	壯	zhuàng	strong / robust / at one's prime	Adjective 形容词	
壮大	壯大	zhuàngdà	strong	Adjective 形容词	
壮观	壯觀	zhuàngguān	spectacular / magnificent	Adjective 形容词	
壮丽	壯麗	zhuànglì	magnificent / majestic / glorious	Adjective 形容词	
壮实	壯實	zhuàngshí	robust	Adjective 形容词	
庄严	莊嚴	zhuāngyán	stately	Adjective 形容词	
专门	專門	zhuānmén	specialist / specialized / customized	Adjective 形容词	
专项	專項	zhuānxiàng	special / dedicated	Adjective 形容词	
专心	專心	zhuānxīn	concentrated / engrossed	Adjective 形容词	
专业	專業	zhuānyè	professional	Adjective 形容词	
专用	專用	zhuānyòng	special / dedicated	Adjective 形容词	
专用	專用	zhuānyòng	for a special purpose	Verb 动词	
逐步		zhúbù	progressively / step by step	Adverb 副词	
屯		zhūn	difficult / stingy	Adjective 形容词	
准确	準確	zhǔnquè	accurate / exact / precise	Adjective 形容词	
卓		zhuó	outstanding	Adjective 形容词	
拙		zhuō	awkward / clumsy / dull	Adjective 形容词	
卓越		zhuóyuè	distinction / excellence / splendid	Adjective 形容词	
主要		zhǔyào	main / principal / major / primary	Adjective 形容词	
自		zì	naturally / of course / certainly	Adverb 副词	
孳		zī	industrious	Adjective 形容词	
自然		zìrán	naturally	Adverb 副词	
自行		zìxíng	voluntary / autonomous	Adjective 形容词	
总	總	zǒng	general / total / overall / chief	Adjective 形容词	
总	總	zǒng	to sum up	Verb 动词	
作风	作風	zuòfēng	style / way	Noun 名词	
